Time,Dist8_0,Dist12_0,Dist16_0,Dist20_0
5.305638,0.1444948,0.1478641,0.1414512,0.1317423
5.319112,0.1401672,0.1430741,0.1357842,0.1285068
5.333069,0.1358619,0.1382764,0.1301856,0.1251862
5.347518,0.1312584,0.1329723,0.1244007,0.1209554
5.36158,0.1267933,0.1278284,0.1189182,0.1169471
5.375733,0.1224438,0.1228205,0.1136584,0.1131459
5.388886,0.1208059,0.1193174,0.109644,0.1083532
5.403398,0.1187373,0.1156674,0.105626,0.1040183
5.417038,0.1178285,0.1130859,0.1026773,0.1007662
5.430819,0.1166816,0.1103944,0.09965119,0.09771073
5.445664,0.1153817,0.1076162,0.09659831,0.09479947
5.458405,0.1149382,0.1059793,0.09472506,0.09306998
5.47276,0.1143558,0.1041598,0.09265576,0.09103391
5.486595,0.1139899,0.1033972,0.09176625,0.09014276
5.503469,0.1135629,0.1024707,0.09066023,0.08896917
5.515706,0.1132783,0.1020468,0.09016137,0.08839972
5.529158,0.1129769,0.1015664,0.08958288,0.08772045
5.543252,0.1126616,0.1010518,0.08896582,0.08700015
5.556971,0.1123897,0.1007226,0.08860231,0.08661956
5.570798,0.1121099,0.1003762,0.08820868,0.08618844
5.584898,0.111452,0.09980173,0.08748669,0.08560246
5.598869,0.1106966,0.0991872,0.08672494,0.08500375
5.612957,0.1098669,0.0985351,0.08593509,0.08437098
5.62672,0.1084478,0.09764823,0.08496029,0.08357503
5.641387,0.1069604,0.09672588,0.08396617,0.08271025
5.65405,0.1055395,0.09587131,0.08302433,0.08189347
5.667982,0.1041553,0.09501778,0.08210434,0.08107433
5.682335,0.1029515,0.09438299,0.08144761,0.08045147
5.69664,0.1017836,0.09377895,0.08082295,0.07985097
5.712061,0.1006439,0.09319612,0.08022084,0.07927148
5.724561,0.1003001,0.09303879,0.07999634,0.07901035
5.737763,0.09995592,0.09289669,0.07977915,0.07875622
5.751359,0.09970774,0.09269418,0.07952586,0.07849999
5.768941,0.09946184,0.09248699,0.07926954,0.07824419
5.780376,0.09921356,0.09229515,0.07900649,0.07798542
5.792344,0.09907649,0.0921981,0.07887616,0.07783969
5.807587,0.09894002,0.0921156,0.07874597,0.07769451
5.820446,0.09874359,0.09194769,0.07856058,0.0775735
5.834489,0.09853286,0.09177201,0.07836775,0.07745413
5.849339,0.09826244,0.09152125,0.07812715,0.07729735
5.863178,0.09796868,0.09125039,0.07787523,0.077135
5.877001,0.09765743,0.09096543,0.07761569,0.07696917
5.889708,0.09720806,0.09058923,0.07735102,0.07682471
5.904746,0.09673201,0.09019688,0.07708163,0.07668318
5.921371,0.0961788,0.0897367,0.07673455,0.07648398
5.93344,0.09561311,0.0892674,0.076378,0.0762832
5.94715,0.09503886,0.08878931,0.0760115,0.07608223
5.959394,0.09437734,0.08820114,0.07558519,0.07586551
5.974916,0.09371442,0.08760594,0.07515051,0.07564947
5.987985,0.09313714,0.08711419,0.07479533,0.07549764
6.001393,0.09257186,0.08663044,0.07444797,0.07534904
6.01636,0.09201587,0.0861523,0.07410695,0.07520285
6.029783,0.09127633,0.08558948,0.07374511,0.07508341
6.044117,0.09054489,0.0850243,0.07338793,0.07495743
6.057393,0.09007624,0.08448505,0.07299943,0.07480377
6.071028,0.08962338,0.08394253,0.07261349,0.07463941
6.08522,0.0890961,0.08332963,0.07220396,0.07448543
6.099321,0.08856865,0.08271166,0.07180014,0.07433268
6.113951,0.08803592,0.08208735,0.0713995,0.07418147
6.128305,0.08749885,0.08144464,0.07105563,0.07404847
6.141218,0.08695064,0.08079876,0.07071754,0.07392323
6.154561,0.08643162,0.08026358,0.07048422,0.07384356
6.169763,0.0858998,0.07973307,0.07025702,0.07377052
6.183107,0.08536034,0.07920729,0.0700333,0.07370181
6.196688,0.08490495,0.07854076,0.06976405,0.07357381
6.210799,0.08443941,0.07786699,0.0694918,0.07344367
6.224881,0.08409127,0.0774958,0.06930232,0.0733248
6.23889,0.0837535,0.07714461,0.06911198,0.07320496
6.252357,0.0834096,0.07677547,0.06889684,0.07301027
6.266624,0.08309166,0.07643561,0.06868833,0.07281359
6.282025,0.0827738,0.07609686,0.06847213,0.07260279
6.294093,0.08231559,0.07557628,0.06813443,0.07224232
6.308414,0.08185027,0.07504399,0.06778102,0.07186146
6.321902,0.08109652,0.07426383,0.06722511,0.07127275
6.339478,0.08033619,0.07346877,0.0666493,0.07067762
6.350543,0.0795913,0.07267748,0.06607002,0.07009146
6.363855,0.0786576,0.07166006,0.06536171,0.0693596
6.378426,0.07779007,0.07068437,0.0646736,0.06866429
6.391685,0.07698067,0.0698919,0.06396677,0.06797999
6.406346,0.07621758,0.0691539,0.06329487,0.06732818
6.420162,0.07556323,0.06860015,0.06275287,0.06677797
6.433997,0.07494647,0.0680844,0.0622364,0.06624396
6.447729,0.07436521,0.06759777,0.06173858,0.06572171
6.46119,0.07397684,0.06728429,0.06139319,0.06530299
