Time,Position
14.64287,573.5471
14.64441,573.5471
14.64587,573.5471
14.64783,573.5471
14.64986,573.5471
14.65234,573.5471
14.65453,573.5471
14.65631,573.5471
14.65801,573.5471
14.65981,573.5471
14.66194,573.7112
14.6643,573.7112
14.66678,573.7112
14.66859,573.7112
14.67,573.7112
14.67255,573.7112
14.67433,573.7112
14.67595,573.7112
14.67786,573.7112
14.6799,573.7112
14.68238,573.7112
14.6844,573.7112
14.68616,573.7112
14.68774,573.7112
14.68958,573.7112
14.69139,573.7112
14.69309,573.7112
14.69595,573.6854
14.69778,573.6854
14.69953,573.6854
14.70101,573.6854
14.70271,573.6854
14.706,573.6854
14.70825,573.6854
14.71043,573.6854
14.71223,573.6854
14.7141,573.6854
14.71593,573.6854
14.7181,573.6854
14.72002,573.6854
14.72205,573.6854
14.72374,573.6854
14.7267,573.6854
14.72899,573.4107
14.73074,573.4107
14.73308,573.4107
14.73506,573.4107
14.73685,573.4107
14.73931,573.4107
14.74112,573.4107
14.74286,573.4107
14.74474,573.4107
14.74665,573.4107
14.74876,573.4107
14.75093,573.4107
14.75264,573.4107
14.75415,573.4107
14.75582,573.4107
14.7578,573.4107
14.75994,573.4107
14.76278,573.1339
14.76489,573.1339
14.76681,573.1339
14.76858,573.1339
14.77015,573.1339
14.77388,573.1339
14.77608,573.1339
14.77814,573.1339
14.78,573.1339
14.78205,573.1339
14.78444,573.1339
14.78655,573.1339
14.78859,573.1339
14.79045,573.1339
14.79214,573.1339
14.79397,573.1339
14.79595,573.1339
14.79744,572.9889
14.79928,572.9889
14.80131,572.9889
14.80388,572.9889
14.80612,572.9889
14.80774,572.9889
14.80925,572.9889
14.81102,572.9889
14.81295,572.9889
14.81536,572.9889
14.81751,572.9266
14.83821,572.9266
14.84076,572.9266
14.84262,572.9266
14.84468,572.9266
14.84671,572.9266
14.84881,572.9266
14.85091,572.9266
14.85279,572.9266
14.85516,572.9266
14.85722,572.9266
14.8596,572.9266
14.86206,572.9061
14.86519,572.9061
14.86787,572.9061
14.86994,572.9061
14.87191,572.9061
14.87416,572.9061
14.87616,572.9061
14.87818,572.9061
14.88052,572.9061
14.88297,572.9061
14.8851,572.9061
14.88696,572.9061
14.8887,572.9061
14.8906,572.9061
14.89234,572.9061
14.89417,572.9061
14.89778,572.9235
14.89971,572.9235
14.90207,572.9235
14.9038,572.9235
14.90532,572.9235
14.90689,572.9235
14.90886,572.9235
14.91054,572.9235
14.91201,572.9235
14.91359,572.9235
14.91554,572.9235
14.9175,572.9235
14.91921,572.9235
14.92112,572.9235
14.92282,572.9235
14.92442,572.9235
14.92693,572.9235
14.92907,572.8857
14.93083,572.8857
14.93348,572.8857
14.93514,572.8857
14.9365,572.8857
14.93947,572.8857
14.94157,572.8857
14.94342,572.8857
14.94542,572.8857
14.94768,572.8857
14.94989,572.8857
14.95184,572.8857
14.95352,572.8857
14.95515,572.8857
14.95761,572.8857
14.95921,572.8857
14.96083,572.8857
14.96316,572.992
14.96481,572.992
14.96665,572.992
14.96822,572.992
14.96972,572.992
14.97356,572.992
14.97587,572.992
14.97768,572.992
14.97921,572.992
14.98088,572.992
14.98296,572.992
14.98491,572.992
14.98703,572.992
14.9889,572.992
14.99049,572.992
14.99189,572.992
14.99354,572.992
14.99527,572.992
14.997,572.9832
14.99864,572.9832
15.00058,572.9832
15.00287,572.9832
15.00461,572.9832
15.00784,572.9832
15.00953,572.9832
15.01133,572.9832
15.01317,572.9832
15.01492,572.9832
15.01682,572.9832
15.01878,572.9083
15.03934,572.9083
15.0419,572.9083
15.04356,572.9083
15.04496,572.9083
15.04656,572.9083
15.0486,572.9083
15.05068,572.9083
15.05262,572.9083
15.05488,572.9083
15.05719,572.9083
15.05914,572.9083
15.06144,572.9083
15.06354,572.9836
15.06732,572.9836
15.07015,572.9836
15.07255,572.9836
15.07428,572.9836
15.07595,572.9836
15.07774,572.9836
